ID,NAME,PARENT_ID
444,Adventurers,443
443,Service Packs,
442,Rock Raiders,
441,Quatro,
440,Primo,
439,Power Miners,
438,Power Functions,
437,Pharaoh's Quest,
436,Airjitzu,435
435,Ninjago,
434,Ninja,
433,Minitalia,
432,Master Building Academy,
431,Star Wars,425
430,Pirates,425
429,Halloween,425
428,Christmas,425
427,Holiday,425
426,Bionicle,425
425,Legoland Parks,
424,Western,411
423,Vehicle,411
422,Space,411
421,Police,411
420,Hospital,411
419,Harbor,411
418,Gas Station,411
417,Fire,411
416,Construction,411
415,Coast Guard,411
414,Castle,411
413,Building,411
412,Airport,411
411,Legoland,
410,Pick A Model,408
409,Monthly Mini Model Build,408
408,LEGO Brand Store,
407,Island Xtreme Stunts,
406,Inventor,
405,Homemaker,
404,Hobby Sets,
403,Villains,400
402,Vehicles,400
401,Heroes,400
400,Hero Factory,
399,Freestyle,
398,FIRST LEGO League,
397,Factory,
396,Police,390
395,Fire,390
394,Airport,390
393,Harbor,390
392,Post Office,390
391,Hospital,390
390,Fabuland,
389,Exo-Force,
388,Disney's Mickey Mouse,
387,Discovery,
386,Dinosaurs,
385,Dino Attack,
384,Dino 2010,
383,Wooden Box Set,365
382,Cargo,373
381,Construction,373
380,Train,373
379,Supplemental,373
378,Traffic,373
377,Harbor,373
376,Fire,373
375,Farm,373
374,Airport,373
373,Vehicle,365
372,Town Plan,365
371,Supplemental,365
370,Mosaic,365
369,Jumbo Bricks,365
368,HO 1:87 Vehicles,365
367,Building,365
366,Basic Set,365
365,Classic,
364,Building Set with People,
363,Boat,
362,Toa Okoto,324
361,Skull Spiders,324
360,Protectors,324
359,Warriors,324
358,Visorak,324
357,Vahki,324
356,Turaga,324
355,Tohunga,324
354,Toa Nuva,324
353,Toa Metru,324
352,Toa Mahri,324
351,Toa Inika,324
350,Toa Hordika,324
349,Toa Hagah,324
348,Toa,324
347,Titans,324
346,Supplemental,324
345,Stars,324
344,Rahkshi,324
343,Rahi,324
342,Rahaga,324
341,Playsets,324
340,Piraka,324
339,Phantoka,324
338,Mistika,324
337,Matoran of Voya Nui,324
336,Matoran of Metru Nui,324
335,Matoran of Mata Nui,324
334,Matoran of Mahri Nui,324
333,Matoran of Light,324
332,Glatorian Legends,324
331,Glatorian,324
330,Bohrok-Kal,324
329,Bohrok Va,324
328,Bohrok,324
327,Battle Vehicles,324
326,Barraki,324
325,Agori,324
324,Bionicle,
323,Recreation,318
322,Playhouse,318
321,Hospital,318
320,Golden Land,318
319,Fairy-Tale,318
318,Belville,
317,Avatar,
316,Mini,315
315,Atlantis,
314,Supplemental,307
313,Stingrays,307
312,Hydronauts,307
311,Aquasharks,307
310,Aquaraiders II,307
309,Aquaraiders I,307
308,Aquanauts,307
307,Aquazone,
306,Mission Deep Freeze,304
305,Mission Deep Sea,304
304,Alpha Team,
303,Ultra Agents,302
302,Agents,
301,Other,
300,Orient Expedition,296
299,Jungle,296
298,Dino Island,296
297,Desert,296
296,Adventurers,
295,Fire,290
294,Gas Station,290
293,Construction,290
292,Traffic,290
291,Police,290
290,Town,279
289,Supplemental,279
288,Spider-Man 2,287
287,Spider-Man,279
286,Pirates,279
285,Gas Station,280
284,Traffic,280
283,Fire,280
282,Airport,280
281,Police,280
280,Jack Stone,279
279,4 Juniors,
278,Model Team,
277,Mosaic,276
276,Sculptures,
275,Toy Story,
274,Jurassic Park III,273
273,Studios,
272,SpongeBob SquarePants,
271,Prince of Persia,
270,Ben 10,
269,Cars,
268,Temple of Doom,264
267,Raiders of the Lost Ark,264
266,Last Crusade,264
265,Kingdom of the Crystal Skull,264
264,Indiana Jones,
263,Pirates of the Caribbean,
262,EV3,258
261,Star Wars,258
260,RCX,258
259,NXT,258
258,Mindstorms,
257,Train,254
256,Technic,254
255,Castle,254
254,Bulk Bricks,
253,Skylines,252
252,Architecture,
251,Sorcerer's Stone,246
250,Prisoner of Azkaban,246
249,Order of the Phoenix,246
248,Goblet of Fire,246
247,Chamber of Secrets,246
246,Harry Potter,
245,RC Train,241
244,9V,241
243,4.5V,241
242,12V,241
241,Supplemental,233
240,RC Train,233
239,World City,236
238,My Own Train,236
237,My Own Creation,236
236,9V,233
235,4.5V,233
234,12V,233
233,Train,
232,Valentine,206
231,Thanksgiving,206
230,Halloween,206
229,Easter,206
228,Creator,227
227,Christmas,206
226,Friends,217
225,Star Wars,217
224,Pirates,217
223,Creator,217
222,Clikits,217
221,Classic Basic,217
220,City,217
219,Castle,217
218,Belville,217
217,Advent Sub-Set,206
216,Friends,207
215,Pirates,207
214,Creator,207
213,Clikits,207
212,Classic Basic,207
211,Castle,207
210,Belville,207
209,Star Wars,207
208,City,207
207,Advent,206
206,Seasonal,
205,Building,204
204,Designer Sets,
203,Wolfpack,186
202,Supplemental,186
201,Royal Knights,186
200,My Own Creation,186
199,Lion Knights,186
198,Knights Kingdom II,186
197,Knights Kingdom I,186
196,Kingdoms,186
195,Fright Knights,186
194,Forestmen,186
193,Fantasy Era,186
192,Dragon Knights,186
191,Dark Forest,186
190,Crusaders,186
189,Classic Castle,186
188,Black Knights,186
187,Black Falcons,186
186,Castle,
185,Star Wars Rogue One,158
184,Star Wars Episode 7,158
183,Star Wars Expanded Universe,158
182,Star Wars Rebels,158
181,Star Wars Episode 4/5/6,180
180,Planet Series 4,158
179,Planet Series 3,158
178,Minifig Pack,158
177,Planet Series 2,158
176,Planet Series 1,158
175,Star Wars Episode 2,171
174,Star Wars Episode 4/5/6,171
173,Star Wars Episode 3,171
172,Star Wars Episode 1,171
171,Ultimate Collector Series,158
170,Star Wars Other,158
169,Star Wars Episode 4/5/6,158
168,Star Wars Episode 3,158
167,Star Wars Episode 2,158
166,Star Wars Episode 1,158
165,Star Wars Clone Wars,158
164,Star Wars Episode 1,159
163,Star Wars Episode 4/5/6,159
162,Star Wars Episode 3,159
161,Star Wars Episode 2,159
160,Star Wars Clone Wars,159
159,Mini,158
158,Star Wars,
157,Bricktober,155
156,Mini,155
155,Modular Buildings,
154,Pirates III,147
153,Pirates II,147
152,Islanders,148
151,Imperial Soldiers,148
150,Imperial Guards,148
149,Imperial Armada,148
148,Pirates I,147
147,Pirates,
146,Galaxy Squad,126
145,Unitron,126
144,UFO,126
143,Supplemental,126
142,Spyrius,126
141,Space Police III,126
140,Space Police II,126
139,Space Police I,126
138,RoboForce,126
137,Mars Mission,126
136,M:Tron,126
135,Life On Mars,126
134,Insectoids,126
133,Ice Planet 2002,126
132,Futuron,126
131,Exploriens,126
130,Classic Space,126
129,Blacktron II,126
128,Blacktron I,126
127,Alien Conquest,126
126,Space,
125,Xalax,112
124,Supplemental,123
123,World Racers,112
122,Williams F1,112
121,Track System,112
120,Tiny Turbos,112
119,Supplemental,112
118,Speed Racer,112
117,Radio Control,112
116,Power Racers,112
115,Lamborghini,112
114,Ferrari,112
113,Drome Racers,112
112,Racers,
111,Police,105
110,Harbor,105
109,Food & Drink,105
108,Fire,105
107,Coast Guard,105
106,Airport,105
105,World City,50
104,Town Plan,50
103,Traffic,94
102,Supplemental,94
101,Race,94
100,Police,94
99,Gas Station,94
98,Fire,94
97,Construction,94
96,Coast Guard,94
95,Cargo,94
94,Town Jr.,50
93,Space Port,50
92,Res-Q,50
91,Race,50
90,Paradisa,50
89,Outback,50
88,Launch Command,50
87,Extreme Team,50
86,Divers,50
85,Traffic,67
84,Supplemental,67
83,Recreation,67
82,Race,67
81,Post Office,67
80,Police,67
79,Off-Road,67
78,Hospital,67
77,Harbor,67
76,Station,67
75,Food & Drink,67
74,Fire,67
73,Farm,67
72,Construction,67
71,Coast Guard,67
70,Cargo,67
69,Building,67
68,Airport,67
67,Classic Town,50
66,Trains,52
65,Arctic,52
64,Off-Road,52
63,Traffic,52
62,Supplemental,52
61,Police,52
60,Hospital,52
59,Harbor,52
58,Fire,52
57,Farm,52
56,Construction,52
55,Coast Guard,52
54,Cargo,52
53,Airport,52
52,City,50
51,Arctic,50
50,Town,
49,Mecha,22
48,Supplemental,22
47,Fire,38
46,Harbor,38
45,Cargo,38
44,Recreation,38
43,Building,38
42,Airport,38
41,Riding Cycle,38
40,Creature,38
39,Traffic,38
38,Model,22
37,Basic Set,22
36,Fire,23
35,Cargo,23
34,Building,23
33,Food & Drink,23
32,Robot,23
31,Creature,23
30,Traffic,23
29,Train,23
28,Harbor,23
27,Race,23
26,Construction,23
25,Castle,23
24,Airport,23
23,Basic Model,22
22,Creator,
21,Universal Building Set,1
20,Throwbot Slizer,1
19,Supplemental,1
18,Star Wars,1
17,Speed Slammers,1
16,RoboRiders,1
15,Traffic,5
14,Robot,5
13,Riding Cycle,5
12,Race,5
11,Off-Road,5
10,Harbor,5
9,Fire,5
8,Farm,5
7,Construction,5
6,Airport,5
5,Model,1
4,Expert Builder,1
3,Competition,1
2,Arctic Technic,1
